tweet_id,Date Created,Number of Likes,Source of Tweet,Tweet,Sentiment
1,2022-11-20 00:13:22+00:00,0,Twitter for iPhone,"#WorldCup2022 final four prediction: Spain/Argentina and Denmark/Uruguay. Germany, France, Croatia, Brazil all out at the group stage 😳",neutral
2,2022-11-20 00:16:55+00:00,0,Twitter for iPhone,"I hope an African country wins the World Cup. This will be a win for the continent. COME ON Cameroon, Ghana, Morocco, Tunisia, and continental champion Senegal #WorldCup2022",positive
3,2022-11-20 00:58:58+00:00,0,Twitter for iPhone,Tomorrow is the beginning of the World Cup in #Qatar2022 this might be the last time we see these two icons on the biggest football ⚽️ stage. #WorldCup2022 #WorldCup #CR7 #Messi𓃵 #CR7𓃵 #Messi #soccer #football #futbol #Argentina #Portugal @LouisVuitton,positive
4,2022-11-20 01:21:38+00:00,1,Twitter for iPhone,My favorites to win The World Cup 2022 are: 1- Brazil. 2- France. 3- Spain. #WorldCup #WorldCup2022 #Qatar2022 #QatarWorldCup2022,positive
5,2022-11-20 02:46:29+00:00,0,Twitter Web App,2022 World Cup Futures: Spain Group Winner (-105) Brazil/Argentina Group Winners (-116) Argentina to Semifinals (+175) Argentina World Cup Winner (+500) GOLDEN BOOT 🪙👢: Neymar (+1300) Lionel Messi (+900) #WorldCup2022 #QatarWorldCup2022 #Qatar2022,neutral
6,2022-11-20 04:12:23+00:00,1,Twitter for iPhone,"FIFA World Cup is one of the most-watched sporting events in the world—in 2018, nearly 3.6 billion people tuned in to watch the tournament. #Brazil #Belgium #Argentina #France #England are the top 5 ranked teams this #QatarWorldCup2022 #Qatar2022 #WorldCup2022 #WorldCup",positive
7,2022-11-20 04:47:09+00:00,2,Hootsuite Inc.,Ballon dor winner Karim Benzema is set to miss the world up after picking up a thigh injury❌ in Training. He is out of France 🇫🇷 26 man squad. #QatarWorldCup2022 #FIFAWorldCup #WorldCup2022 @SportsXentral,negative
8,2022-11-20 05:20:40+00:00,4,Twitter Web App,Everyone's* been asking me for my #WorldCup2022 predictions so here they are! Winner: Brazil Final Four: Argentina/Brazil/Uruguay/England Golden Boot: Richarlison Biggest Loser: France Surprise Team: Uruguay USA: Finishes THIRD in Group. #FireGregg *No one cares what I think!,neutral
9,2022-11-20 06:26:18+00:00,0,Twitter for Android,I predict Brazil vs England or Germany at the Finals. Brazil are surely taking this one. #Qatar2022 #FIFAWorldCup #QatarWorldCup2022 #WorldCup2022,positive
10,2022-11-20 07:00:01+00:00,2,Twitter Web App,"Today's FIFA World Cup game: 🇶🇦 Qatar vs Ecuador 🇪🇨 It is finally the opening day of the World Cup! Will the hosts get the win, or will Ecuador get off to a fantastic start? #TheGoalpostNews #QatarEcuador #Qatar #Ecuador #WorldCup #FIFAWorldCup #WC2022 #Qatar2022 #WorldCup2022",positive
11,2022-11-20 07:19:29+00:00,4,Twitter for iPhone,Could we have an 🇦🇷 Argentina vs England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 final? It’s definitely a possibility! Shades of 86! Just imagine @TeamMessi doing a #Maradona! 😀 #FIFAWorldCup #WorldCup2022 #Qatar2022,positive
12,2022-11-20 07:53:07+00:00,0,Twitter for Android,"1. No European Champions 2. No Benzema, Kante, Pogba, Mane, Werner, Reece James, Chilwell, Jota and many more 3. Ronaldo, Messi past their prime 4. No footballing heritage in Qatar 5. Restrictions on fans Most boring World Cup ??? #FIFAWorldCup #Qatar2022 #WorldCup2022",negative
13,2022-11-20 08:03:17+00:00,0,Twitter for iPhone,My 2022 WORLD CUP PREDICTIONS Group A Senegal 🇸🇳 Ecuador 🇪🇨 Netherlands 🇳🇱 Qatar 🇶🇦 Group B England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 USA 🇺🇸 Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿 Iran 🇮🇷 Group C Poland 🇵🇱 Argentina 🇦🇷 Mexico 🇲🇽 Saudi Arabia 🇸🇦 Group D France 🇫🇷 Denmark 🇩🇰 Australia 🇦🇺 Tunisia 🇹🇳 #WorldCup2022 #WorldCup,neutral
14,2022-11-20 08:33:56+00:00,6,Twitter for iPhone,So- the World Cup is here! What’s the first World Cup you remember watching? I remember Mexico 86 🇲🇽-especially the England Vs Argentina game 🖐️ You? ⚽️ #WorldCup2022,positive
15,2022-11-20 08:46:04+00:00,1,Twitter Web App,Most ill disciplined teams leading into #WorldCup2022? Top 5 🇪🇨Ecuador (avg 2.46 cards per game) 🏴󠁧󠁢󠁷󠁬󠁳󠁿Wales (avg 2.38) 🇵🇱Poland (avg 2.38) 🇦🇷Argentina (avg 2.29) 🇧🇷Brazil (avg 2.13) #betting #freetips,neutral
16,2022-11-20 09:54:27+00:00,2,Twitter for Android,World Cup 2022 Prediction Semi finalists Argentina Senegal Uruguay Spain Winner Argentina Golden Boot Argentinian Dark Horse Denmark Surprise Group Stage Exit Portugal/Belgium Source: Ochot-Odong Palm Readers Association [OPRAH] #WorldCup2022 #FIFAWorldCup,neutral
17,2022-11-20 10:16:42+00:00,45,Hootsuite Inc.,"🇶🇦 #FIFAWorldCupQatar2022, who will be crowned 🏆 Champion - Argentina 🥈 Second - Belgium 🥉 Third - Netherlands 🏅 Best Player - Lionel Messi ⚽️ Top Scorer - Romero Lukaku 🧤 Best Goalkeeper - Alison Becker 🏵️ Best Young Player - Pedri Mine 👆 Drop yours 👇 #WorldCup2022",neutral
18,2022-11-20 10:17:38+00:00,2,Twitter for iPhone,2 things start today our new online booking for our Christmas camps and the #WorldCup2022 Can't wait to see you all #christmas #camps #activekidsarehappykids #football #dodgeball #nerf #norfolk #kane #mbappe #messi #ronaldo,positive
19,2022-11-20 10:19:15+00:00,0,Twitter for iPhone,"4 years of waiting to see the 50th and 44th best teams in the world play in mid November. #FIFAWorldCup I feel ………… “disappointed” @FIFAcom #WorldCup2022 Argentina, Brazil, Germany, Portugal and Spain must be thinking they have a real chance here to win it outright.",negative
20,2022-11-20 10:30:24+00:00,1,Twitter Web App,"Expect a strong challenge from the South America favourites at the World Cup. Combined them for a series of name the finalists bets. Gone for Argentina v Spain at 40/1, Argentina v Germany (40), Brazil v Spain (33) and Brazil v Germany (33) #WorldCup2022 #WorldCup #FIFAWorldCup",positive
