tweet_id,tweet,true_sentiment,sentiment_zero_shot_raw,sentiment_zero_shot_pred,sentiment_zero_shot_correct,sentiment_few_shot_raw,sentiment_few_shot_pred,sentiment_few_shot_correct,weak_topic_label,topic_zero_shot_raw,topic_zero_shot_pred,topic_zero_shot_correct,topic_system_role_raw,topic_system_role_pred,topic_system_role_correct,entity_zero_shot_raw,entity_structured_raw,entity_structured_json_valid,entity_structured_players,entity_structured_teams,entity_structured_venues
1,"#WorldCup2022 final four prediction: Spain/Argentina and Denmark/Uruguay. Germany, France, Croatia, Brazil all out at the group stage 😳",neutral,Neutral,neutral,1,"Based on the tweet's content, I would classify its sentiment as:

Neutral

The tweet is a neutral statement about making predictions for the World Cup final four, without expressing any emotions or opinions about the outcome. It simply presents information and makes a prediction, without taking a stance or showing enthusiasm.",neutral,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player Names:
	* None mentioned in this tweet.
2. Team/Country Names:
	* Spain
	* Argentina
	* Denmark
	* Uruguay
	* Germany
	* France
	* Croatia
	* Brazil
3. Venues:
	* None mentioned in this tweet (it's a prediction, not a specific event).","{""players"": [], ""teams"": [""Spain"", ""Argentina"", ""Denmark"", ""Uruguay""], ""venues"": []}",1,[],"[""Spain"", ""Argentina"", ""Denmark"", ""Uruguay""]",[]
2,"I hope an African country wins the World Cup. This will be a win for the continent. COME ON Cameroon, Ghana, Morocco, Tunisia, and continental champion Senegal #WorldCup2022",positive,Positive,positive,1,"Based on the tweet's content, I would classify its sentiment as:

Positive

Although the tweet mentions several African countries that are not winning, it ends with a positive statement about one of them (""continental champion"") and includes an enthusiastic hashtag (#WorldCup2022). The overall tone is optimistic and supportive.",positive,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

**Player Names:** None mentioned in this tweet.

**Team/Country Names:**

1. Cameroon
2. Ghana
3. Morocco
4. Tunisia
5. Senegal

**Venues:** None mentioned in this tweet.","{""players"": [""Cameroon"", ""Ghana"", ""Morocco"", ""Tunisia""], ""teams"": [""Cameroon"", ""Ghana"", ""Morocco"", ""Tunisia"", ""Senegal""], ""venues"": []}",1,"[""Cameroon"", ""Ghana"", ""Morocco"", ""Tunisia""]","[""Cameroon"", ""Ghana"", ""Morocco"", ""Tunisia"", ""Senegal""]",[]
3,Tomorrow is the beginning of the World Cup in #Qatar2022 this might be the last time we see these two icons on the biggest football ⚽️ stage. #WorldCup2022 #WorldCup #CR7 #Messi𓃵 #CR7𓃵 #Messi #soccer #football #futbol #Argentina #Portugal @LouisVuitton,positive,Neutral,neutral,0,"The sentiment of the tweet is: positive

Although the tweet mentions that it might be the last time to see two icons on the biggest stage, the overall tone and language used (""What a beginning"", ""the biggest football ⚽️ stage"") convey excitement and appreciation for the upcoming World Cup.",positive,1,Match Play,Match Play,Match Play,1,'Match Play',Match Play,1,"Here are the extracted named entities:

1. Player Names:
	* CR7 (Cristiano Ronaldo)
	* Messi (Lionel Messi)
2. Team/Country Names:
	* Argentina
	* Portugal
3. Venue:
	* Qatar (referring to the 2022 FIFA World Cup in Qatar)","{""players"": [""CR7"", ""Messi""], ""teams"": [""Argentina"", ""Portugal""], ""venues"": []}",1,"[""CR7"", ""Messi""]","[""Argentina"", ""Portugal""]",[]
4,My favorites to win The World Cup 2022 are: 1- Brazil. 2- France. 3- Spain. #WorldCup #WorldCup2022 #Qatar2022 #QatarWorldCup2022,positive,positive,positive,1,"Based on the tweet, I would classify its sentiment as:

Neutral

The tweet is simply stating a prediction or opinion about which teams will win The World Cup 2022, without expressing any emotion or enthusiasm. It's more of a factual statement than an emotional expression.",neutral,0,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here is the list of extracted named entities:

**Player Names:** None mentioned in this tweet.

**Team/Country Names:**

1. Brazil
2. France
3. Spain

**Venues:** 

1. Qatar (referring to the host country of the World Cup)","{""players"": [""Brazil"", ""France"", ""Spain""], ""teams"": [""Brazil"", ""France"", ""Spain""], ""venues"": []}",1,"[""Brazil"", ""France"", ""Spain""]","[""Brazil"", ""France"", ""Spain""]",[]
5,2022 World Cup Futures: Spain Group Winner (-105) Brazil/Argentina Group Winners (-116) Argentina to Semifinals (+175) Argentina World Cup Winner (+500) GOLDEN BOOT 🪙👢: Neymar (+1300) Lionel Messi (+900) #WorldCup2022 #QatarWorldCup2022 #Qatar2022,neutral,Neutral,neutral,1,"Based on the tweet, I would classify its sentiment as neutral. The tweet is providing factual information about World Cup futures and odds, without expressing any emotion or opinion. It's a straightforward announcement of betting options, rather than an expression of enthusiasm or disappointment.",neutral,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Players:
	* Neymar
	* Lionel Messi
2. Teams/Countries:
	* Spain
	* Brazil
	* Argentina
3. Venue:
	* Qatar (specifically, the 2022 World Cup in Qatar)","{""players"": [""Neymar"", ""Lionel Messi""], ""teams"": [""Spain"", ""Brazil"", ""Argentina""], ""venues"": []}",1,"[""Neymar"", ""Lionel Messi""]","[""Spain"", ""Brazil"", ""Argentina""]",[]
6,"FIFA World Cup is one of the most-watched sporting events in the world—in 2018, nearly 3.6 billion people tuned in to watch the tournament. #Brazil #Belgium #Argentina #France #England are the top 5 ranked teams this #QatarWorldCup2022 #Qatar2022 #WorldCup2022 #WorldCup",positive,Neutral,neutral,0,"Based on the tweet, I would classify its sentiment as:

positive

Although the tweet mentions some specific teams (Brazil, Belgium, Argentina, France, and England) that are ranked highly, it also highlights a positive aspect of the FIFA World Cup (its massive global viewership). The tone is informative and celebratory, suggesting a generally positive sentiment.",positive,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here is the list of extracted named entities:

1. Player names:
	* None mentioned in this tweet.
2. Team/country names:
	* Brazil
	* Belgium
	* Argentina
	* France
	* England
3. Venue:
	* Qatar (referring to the host country of the 2022 FIFA World Cup)","{""players"": [], ""teams"": [""Brazil"", ""Belgium"", ""Argentina"", ""France"", ""England""], ""venues"": []}",1,[],"[""Brazil"", ""Belgium"", ""Argentina"", ""France"", ""England""]",[]
7,Ballon dor winner Karim Benzema is set to miss the world up after picking up a thigh injury❌ in Training. He is out of France 🇫🇷 26 man squad. #QatarWorldCup2022 #FIFAWorldCup #WorldCup2022 @SportsXentral,negative,negative,negative,1,"Negative.

Although the tweet mentions a positive event (winning the Ballon d'Or), it also contains negative information about Karim Benzema's injury, which is presented as a significant setback for France. The tone of the tweet is overall critical and disappointed.",positive,0,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player Names:
	* Karim Benzema
2. Team/Country Names:
	* France
3. Venue: 
	* Qatar (Note: The venue is not explicitly mentioned, but it can be inferred that the tweet is referring to the 2022 FIFA World Cup in Qatar)","{""players"": [""Karim Benzema""], ""teams"": [""France""], ""venues"": []}",1,"[""Karim Benzema""]","[""France""]",[]
8,Everyone's* been asking me for my #WorldCup2022 predictions so here they are! Winner: Brazil Final Four: Argentina/Brazil/Uruguay/England Golden Boot: Richarlison Biggest Loser: France Surprise Team: Uruguay USA: Finishes THIRD in Group. #FireGregg *No one cares what I think!,neutral,negative,negative,0,"Based on the tweet, I would classify its sentiment as:

negative

Although the tweet starts with a positive statement (""Everyone's been asking me...""), it quickly turns negative with phrases like ""*No one cares what I think!"" and ""Biggest Loser: France"", which implies disappointment and frustration. The tone of the tweet is also somewhat sarcastic, adding to its overall negative sentiment.",positive,0,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

**Player Names:**

1. Richarlison
2. Gregg (presumably referring to Gregg Berhalter, the US coach)

**Team/Country Names:**

1. Brazil
2. Argentina
3. Uruguay
4. England
5. France
6. USA

**Venues:**

None mentioned in this tweet.","{""players"": [""Richarlison""], ""teams"": [""Brazil"", ""Argentina"", ""Uruguay"", ""England"", ""France"", ""USA""], ""venues"": []}",1,"[""Richarlison""]","[""Brazil"", ""Argentina"", ""Uruguay"", ""England"", ""France"", ""USA""]",[]
9,I predict Brazil vs England or Germany at the Finals. Brazil are surely taking this one. #Qatar2022 #FIFAWorldCup #QatarWorldCup2022 #WorldCup2022,positive,positive,positive,1,"Based on the tweet, I would classify its sentiment as:

Positive

Although the tweet mentions a prediction of Brazil's potential win, it also includes phrases like ""I predict"" and ""#Brazil"", which suggest confidence in their chances. The tone is optimistic and enthusiastic, indicating a positive sentiment towards Brazil's prospects.",positive,1,Match Play,Match Play,Match Play,1,Match Play,Match Play,1,"Here are the extracted named entities:

1. Player names:
	* None mentioned in this tweet.
2. Team/country names:
	* Brazil
	* England
	* Germany
3. Venue:
	* Qatar (referring to the host country of the FIFA World Cup)","{""players"": [], ""teams"": [""Brazil"", ""England"", ""Germany""], ""venues"": []}",1,[],"[""Brazil"", ""England"", ""Germany""]",[]
10,"Today's FIFA World Cup game: 🇶🇦 Qatar vs Ecuador 🇪🇨 It is finally the opening day of the World Cup! Will the hosts get the win, or will Ecuador get off to a fantastic start? #TheGoalpostNews #QatarEcuador #Qatar #Ecuador #WorldCup #FIFAWorldCup #WC2022 #Qatar2022 #WorldCup2022",positive,Neutral,neutral,0,"I'd classify the sentiment of this tweet as neutral. The tweet is simply providing information about an upcoming match, including the teams and time, without expressing a personal opinion or emotion. It's more informative than emotive.",neutral,0,Match Play,Match Play,Match Play,1,'Match Play',Match Play,1,"Here are the extracted named entities:

1. Player names: None mentioned in this tweet.
2. Team/country names:
	* Qatar
	* Ecuador
3. Venue: None mentioned in this tweet (although it's implied that the game is being played at a FIFA World Cup venue, no specific name is given).","{""players"": [], ""teams"": [""Qatar"", ""Ecuador""], ""venues"": []}",1,[],"[""Qatar"", ""Ecuador""]",[]
